Identifier (RIC),Company Name,GICS Industry Name,"DIR Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"DIR Inclusion Score
In the last 8 FY
(Σ=Median)",,,,,,,,"EBITDA
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Total Capital
(USD)
In the last 8 FY
(Σ=Median)",,,,,,,,"Employees, Prd/Prd Avg, FY
In the last 8 FY
(Σ=Median)",,,,,,,,"Policy Diversity and Opportunity
In the last 8 FY",,,,,,,,"Training Hours Total
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Cultural Diversity, Percent Score
(FY0)
(Σ=Median)","Board Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executives Cultural Diversity Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Executive Members Gender Diversity, Percent Score
In the last 8 FY
(Σ=Median)",,,,,,,,"Board Size
In the last 8 FY
(Σ=Median)",,,,,,,,"Women Employees Score
IQTr.AT,Quest Holdings SA,"Electronic Equipment, Instruments & Components",29.00,,,,,,,,9.00,,,,,,,,"92,001,147.74","76,241,438.36","85,994,588.82","72,763,800.68","59,705,625.18","48,553,766.40","35,818,908.12","16,785,113.54","478,384,999.94","436,035,958.90","409,295,636.95","314,924,279.43","250,745,465.55","203,658,592.53","217,340,243.04","222,906,854.50","2,615.50","2,292.50","2,292.50","2,080.50","1,824.50","1,660.50",,,TRUE,TRUE,,,,,,,"50,575.00","49,381.00",,,,,,,,,,,,,,,,94.64,75.86,,,,,,,,,,,,,,,46.43,41.38,,,,,,,12,14,,,,,,,16.67,44.44,,,,,,
0285.HK,BYD Electronic International Co Ltd,Communications Equipment,,,32.00,33.00,32.00,30.00,26.00,,,,0.00,0.00,0.00,0.00,0.00,,"1,046,700,104.26","614,886,185.70","790,445,994.24","1,282,120,459.77","563,871,556.21","644,399,970.91","708,483,162.47","426,712,084.11","6,455,425,202.18","4,141,433,625.24","3,862,796,240.61","3,834,041,379.31","2,548,416,357.84","2,301,699,076.43","2,181,164,870.97","1,692,960,103.70","121,650.00","92,000.00","95,650.00","99,650.00","84,000.00","68,500.00","72,500.00","72,000.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,"21,190,000.00","13,152,894.00","13,574,534.00","15,670,000.00",,,,,100.00,100.00,57.14,57.14,57.14,42.86,42.86,,98.89,8.22,8.90,13.19,17.86,18.84,16.18,16.91,,90.00,91.67,91.67,91.67,91.67,,,,52.74,53.42,56.25,72.50,56.87,58.45,54.52,,7,7,7,7,7,7,7,,48.71,44.59,41.49,55.26,38.18,48.81,58.57,
0031.HK,China Aerospace International Holdings Ltd,"Electronic Equipment, Instruments & Components",,,,23.00,,,,,,,,0.00,,,,,"48,544,041.19","81,485,882.58","78,201,082.63","76,402,487.00","87,215,917.84","78,815,680.27","92,222,435.55","62,043,693.01","1,406,682,375.84","1,457,841,987.32","1,605,642,525.46","1,537,232,821.23","1,403,764,441.59","1,360,755,027.77","1,345,248,700.82","1,178,142,015.19","7,344.50","7,150.00","6,795.50","7,015.00","7,205.00","7,180.00","6,900.00","6,425.00",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,45.89,52.05,54.86,60.71,,,,,,,,,,,,,65.75,65.07,11.11,13.75,,,,,8,8,8,8,,,,,90.50,92.07,90.85,90.45,,,,
0992.HK,Lenovo Group Ltd,"Technology Hardware, Storage & Peripherals",28.00,23.00,28.41,21.00,31.00,30.00,29.00,,6.00,7.00,7.69,8.00,9.00,0.00,0.00,,"3,615,379,000.00","4,275,446,000.00","4,364,917,000.00","3,114,234,000.00","2,401,437,000.00","1,934,407,000.00","1,074,007,000.00","1,403,563,000.00","10,042,876,000.00","10,406,371,000.00","11,372,875,000.00","8,960,940,000.00","10,816,321,000.00","9,749,716,000.00","9,163,379,000.00","7,967,530,000.00","73,250.00","76,000.00","73,250.00","67,250.00","60,000.00","55,500.00","53,000.00","56,000.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"3,465,000.00","2,625,000.00","3,718,000.00","2,205,000.00","1,995,000.00","1,601,390.00","1,615,705.00","1,714,125.00",18.18,22.22,20.00,20.00,16.67,18.18,18.18,18.18,54.44,60.96,41.10,43.06,17.86,46.38,43.38,44.85,52.34,25.00,25.00,25.00,41.67,41.67,,,,71.92,56.85,60.42,77.51,81.09,82.63,81.25,83.33,11,9,10,10,12,11,11,11,53.37,49.40,45.89,53.39,47.73,43.42,54.69,44.64
1050.HK,Karrie International Holdings Ltd,"Electronic Equipment, Instruments & Components",,,,,,,,,,,,,,,,,"45,377,292.19","43,815,147.46","50,544,936.86","105,034,924.56","57,922,149.97","46,834,957.64","39,415,174.87","35,504,066.51","195,041,978.15","203,690,808.33","372,609,134.20","336,755,939.75","275,068,638.08","227,683,546.72","231,150,410.91","208,045,632.37","3,500.00","3,650.00","3,525.00","3,425.00","3,430.00","3,635.00","3,985.00","4,223.00",TRUE,TRUE,,,,,,,"44,401.80","41,323.70",,,,,,,,,,,,,,,,27.64,17.60,,,,,,,,,,,,,,,65.98,65.32,,,,,,,7,9,,,,,,,84.69,85.49,,,,,,
0303.HK,Vtech Holdings Ltd,Communications Equipment,29.00,28.00,34.00,36.71,41.00,18.00,,,40.00,36.00,36.00,40.00,40.00,36.00,,,"252,100,000.00","235,900,000.00","268,800,000.00","321,400,000.00","271,100,000.00","225,200,000.00","263,500,000.00","233,800,000.00","803,700,000.00","814,600,000.00","875,900,000.00","937,200,000.00","766,700,000.00","607,000,000.00","646,600,000.00","586,400,000.00","20,650.00","23,300.00","25,000.00","25,500.00","26,000.00","26,000.00","26,500.00","27,000.00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,"1,649,707.20","1,563,229.60","1,862,216.40","1,851,447.60","1,742,010.40","1,588,928.00",,,11.11,11.11,12.50,12.50,12.50,14.29,,,19.88,16.26,17.60,8.33,10.48,10.59,13.31,,,,,,,,,,,27.05,26.61,27.38,29.03,40.32,29.05,,,9,9,8,8,8,7,,,84.25,84.93,82.84,83.62,83.00,88.71,,
2018.HK,AAC Technologies Holdings Inc,"Electronic Equipment, Instruments & Components",24.00,26.00,34.10,27.00,22.00,24.00,25.00,30.00,31.00,31.00,36.36,45.00,0.00,0.00,0.00,0.00,"537,537,124.18","628,017,601.35","711,855,449.38","645,038,314.18","708,278,318.83","910,522,434.73","1,161,517,452.32","810,127,322.48","4,501,541,886.22","4,729,519,950.12","5,195,453,629.51","4,756,292,567.05","4,047,694,561.75","3,614,931,132.28","3,664,272,166.98","2,636,838,830.48","28,860.00","32,694.50","35,663.00","36,560.00","45,778.00","52,171.00","49,283.50","41,041.50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"396,638.00","388,977.00","772,185.00","451,481.00","752,225.00","598,873.00","747,538.00","1,222,140.00",33.33,33.33,14.29,14.29,11.11,,,,78.21,54.10,55.43,53.71,57.77,50.21,59.29,93.17,93.63,,,,,,,,,76.91,65.08,67.71,50.99,22.86,25.00,27.27,14.63,6,6,7,7,9,8,7,7,38.36,50.00,38.30,59.21,48.18,60.71,64.29,71.67
HONE.NS,Honeywell Automation India Ltd,"Electronic Equipment, Instruments & Components",14.00,,,,,,,,40.00,,,,,,,,"70,713,857.23","63,152,385.59","57,077,998.56","82,271,627.22","84,506,126.13","72,765,250.07","57,184,764.25","45,770,239.01","439,808,038.39","392,508,519.96","381,087,832.37","362,711,076.47","299,893,804.84","252,596,126.05","217,889,725.08","182,001,542.02","3,026.00","2,953.00","3,062.50","3,242.50","3,280.50","3,228.00","3,068.00","2,930.50",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,47.99,91.03,84.96,,,,,,,,,,,,,,84.72,73.78,78.30,,,,,,6,6,7,,,,,,2.17,2.16,1.35,,,,,
STTE.NS,Sterlite Technologies Ltd,Communications Equipment,,30.00,,,,,,,,26.00,,,,,,,"71,025,794.84","108,933,787.73","91,434,413.59","112,851,224.41","141,984,256.57","162,930,037.58","116,409,153.74","80,087,895.14","647,750,449.91","721,640,701.07","727,522,812.49","687,628,696.83","610,598,276.98","561,118,820.47","373,953,309.78","311,139,552.81","2,659.00","3,213.00","3,196.50","3,113.50","3,055.00","2,508.00","2,088.50","1,974.50",TRUE,TRUE,TRUE,TRUE,,,,,"42,335.00","65,048.00","50,264.00","32,159.00",,,,,12.50,14.29,14.29,10.00,,,,,50.00,28.06,40.54,42.20,20.68,,,,,,,,,,,,,74.44,73.78,70.79,72.09,,,,,8,7,7,10,,,,,3.42,11.64,11.19,12.93,,,,
REDI.NS,Redington Ltd,"Electronic Equipment, Instruments & Components",28.00,32.00,,,,,,,44.00,44.00,,,,,,,"229,064,187.16","264,200,340.80","238,516,022.10","186,339,335.77","137,028,924.91","133,960,682.28","129,099,984.64","132,444,795.68","1,298,159,568.09","1,291,865,871.47","914,141,241.14","810,614,326.54","990,911,021.73","803,418,618.10","821,253,263.71","774,903,623.75","4,844.00","3,157.00","1,604.00","1,553.00","1,567.00","1,673.50","1,709.50","1,487.50",TRUE,TRUE,TRUE,,,,,,"198,400.00","186,040.00","22,540.00",,,,,,37.50,44.44,,,,,,,94.35,75.69,69.12,64.21,,,,,,75.00,,,,,,,,24.03,24.06,25.03,,,,,,8,9,10,,,,,,9.77,8.43,10.24,,,,,
